,trial_id,iteration,test_metric,strategy,seed,score
0,ca15a_00000,0,0.5929614901542664,least_confidence,1,20.372790664434433
1,ca15a_00000,1,0.7349035739898682,least_confidence,1,20.372790664434433
2,ca15a_00000,2,0.7828154563903809,least_confidence,1,20.372790664434433
3,ca15a_00000,3,0.8151804208755493,least_confidence,1,20.372790664434433
4,ca15a_00000,4,0.7775498628616333,least_confidence,1,20.372790664434433
5,ca15a_00000,5,0.7525650858879089,least_confidence,1,20.372790664434433
6,ca15a_00000,6,0.8103795051574707,least_confidence,1,20.372790664434433
7,ca15a_00000,7,0.802575945854187,least_confidence,1,20.372790664434433
8,ca15a_00000,8,0.8180147409439087,least_confidence,1,20.372790664434433
9,ca15a_00000,9,0.8538923263549805,least_confidence,1,20.372790664434433
10,ca15a_00000,10,0.8786767721176147,least_confidence,1,20.372790664434433
11,ca15a_00000,11,0.787642240524292,least_confidence,1,20.372790664434433
12,ca15a_00000,12,0.862598180770874,least_confidence,1,20.372790664434433
13,ca15a_00000,13,0.8765142560005188,least_confidence,1,20.372790664434433
14,ca15a_00000,14,0.8840973973274231,least_confidence,1,20.372790664434433
15,ca15a_00000,15,0.9120423793792725,least_confidence,1,20.372790664434433
16,ca15a_00000,16,0.9118220806121826,least_confidence,1,20.372790664434433
17,ca15a_00000,17,0.914665937423706,least_confidence,1,20.372790664434433
18,ca15a_00000,18,0.8859474658966064,least_confidence,1,20.372790664434433
19,ca15a_00000,19,0.9207261800765991,least_confidence,1,20.372790664434433
20,ca15a_00000,20,0.9088810086250305,least_confidence,1,20.372790664434433
21,ca15a_00000,21,0.9193907976150513,least_confidence,1,20.372790664434433
22,ca15a_00000,22,0.8878909349441528,least_confidence,1,20.372790664434433
23,ca15a_00000,23,0.9240041971206665,least_confidence,1,20.372790664434433
24,ca15a_00000,24,0.9070663452148438,least_confidence,1,20.372790664434433
25,ca15a_00001,0,0.6921687722206116,least_confidence,2,20.123317629098892
26,ca15a_00001,1,0.7532933354377747,least_confidence,2,20.123317629098892
27,ca15a_00001,2,0.7779372930526733,least_confidence,2,20.123317629098892
28,ca15a_00001,3,0.7495149374008179,least_confidence,2,20.123317629098892
29,ca15a_00001,4,0.784244179725647,least_confidence,2,20.123317629098892
30,ca15a_00001,5,0.7629374861717224,least_confidence,2,20.123317629098892
31,ca15a_00001,6,0.8168864250183105,least_confidence,2,20.123317629098892
32,ca15a_00001,7,0.8265727758407593,least_confidence,2,20.123317629098892
33,ca15a_00001,8,0.737231433391571,least_confidence,2,20.123317629098892
34,ca15a_00001,9,0.8488929271697998,least_confidence,2,20.123317629098892
35,ca15a_00001,10,0.8693087100982666,least_confidence,2,20.123317629098892
36,ca15a_00001,11,0.8796789050102234,least_confidence,2,20.123317629098892
37,ca15a_00001,12,0.8458395004272461,least_confidence,2,20.123317629098892
38,ca15a_00001,13,0.8500797748565674,least_confidence,2,20.123317629098892
39,ca15a_00001,14,0.8538572788238525,least_confidence,2,20.123317629098892
40,ca15a_00001,15,0.8904234170913696,least_confidence,2,20.123317629098892
41,ca15a_00001,16,0.8796575665473938,least_confidence,2,20.123317629098892
42,ca15a_00001,17,0.8625273108482361,least_confidence,2,20.123317629098892
43,ca15a_00001,18,0.8918336629867554,least_confidence,2,20.123317629098892
44,ca15a_00001,19,0.8118860125541687,least_confidence,2,20.123317629098892
45,ca15a_00001,20,0.9029892683029175,least_confidence,2,20.123317629098892
46,ca15a_00001,21,0.8920584917068481,least_confidence,2,20.123317629098892
47,ca15a_00001,22,0.9024230241775513,least_confidence,2,20.123317629098892
48,ca15a_00001,23,0.9247112274169922,least_confidence,2,20.123317629098892
49,ca15a_00001,24,0.9248965978622437,least_confidence,2,20.123317629098892
50,ca15a_00002,0,0.7181622982025146,least_confidence,3,19.927702516317368
51,ca15a_00002,1,0.6921288967132568,least_confidence,3,19.927702516317368
52,ca15a_00002,2,0.7548765540122986,least_confidence,3,19.927702516317368
53,ca15a_00002,3,0.7786470651626587,least_confidence,3,19.927702516317368
54,ca15a_00002,4,0.8075718879699707,least_confidence,3,19.927702516317368
55,ca15a_00002,5,0.7955832481384277,least_confidence,3,19.927702516317368
56,ca15a_00002,6,0.7963234782218933,least_confidence,3,19.927702516317368
57,ca15a_00002,7,0.7737996578216553,least_confidence,3,19.927702516317368
58,ca15a_00002,8,0.78328537940979,least_confidence,3,19.927702516317368
59,ca15a_00002,9,0.8533854484558105,least_confidence,3,19.927702516317368
60,ca15a_00002,10,0.8677607774734497,least_confidence,3,19.927702516317368
61,ca15a_00002,11,0.7961248159408569,least_confidence,3,19.927702516317368
62,ca15a_00002,12,0.8245798945426941,least_confidence,3,19.927702516317368
63,ca15a_00002,13,0.8606441617012024,least_confidence,3,19.927702516317368
64,ca15a_00002,14,0.8851242065429688,least_confidence,3,19.927702516317368
65,ca15a_00002,15,0.9164478778839111,least_confidence,3,19.927702516317368
66,ca15a_00002,16,0.8772096633911133,least_confidence,3,19.927702516317368
67,ca15a_00002,17,0.8818560838699341,least_confidence,3,19.927702516317368
68,ca15a_00002,18,0.7765825986862183,least_confidence,3,19.927702516317368
69,ca15a_00002,19,0.8820284605026245,least_confidence,3,19.927702516317368
70,ca15a_00002,20,0.8249239921569824,least_confidence,3,19.927702516317368
71,ca15a_00002,21,0.8686244487762451,least_confidence,3,19.927702516317368
72,ca15a_00002,22,0.920081615447998,least_confidence,3,19.927702516317368
73,ca15a_00002,23,0.8887258768081665,least_confidence,3,19.927702516317368
74,ca15a_00002,24,0.9246105551719666,least_confidence,3,19.927702516317368
