,Iteration,hit_ratio,mse,pearson,r2,repetition
0,0,0.021032504780114723,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
1,1,0.0019120458891013384,51.828330993652344,0.16676920652389526,-0.4585907459259033,0
2,2,0.0057361376673040155,50.240596771240234,0.1631905883550644,-0.41390764713287354,0
3,3,0.0076481835564053535,77.84053039550781,0.0946211963891983,-1.1906452178955078,0
4,4,0.006692160611854685,43.270057678222656,0.20029757916927338,-0.21773755550384521,0
5,5,0.0019120458891013384,51.662349700927734,0.1557430773973465,-0.4539196491241455,0
6,6,0.006692160611854685,48.80329895019531,0.17403092980384827,-0.3734581470489502,0
7,7,0.004780114722753346,46.00233459472656,0.2145899534225464,-0.29463136196136475,0
8,8,0.0057361376673040155,58.7802848815918,0.17559392750263214,-0.6542377471923828,0
9,9,0.008604206500956023,59.6795539855957,0.1406470686197281,-0.6795456409454346,0
10,10,0.004780114722753346,44.00236511230469,0.23815561830997467,-0.23834669589996338,0
11,11,0.006692160611854685,77.24024963378906,0.11963135749101639,-1.1737513542175293,0
12,12,0.0057361376673040155,636.2939453125,0.03281128406524658,-16.90704917907715,0
13,13,0.009560229445506692,180.73577880859375,0.08875616639852524,-4.086398601531982,0
14,14,0.0057361376673040155,52.74554443359375,0.18621283769607544,-0.4844036102294922,0
15,15,0.0057361376673040155,47.161231994628906,0.20719511806964874,-0.327245831489563,0
16,16,0.0028680688336520078,37.81367111206055,0.2815520465373993,-0.06418001651763916,0
17,17,0.0038240917782026767,52.70913314819336,0.17217141389846802,-0.48337888717651367,0
18,18,0.0019120458891013384,48.031150817871094,0.19205473363399506,-0.3517277240753174,0
19,19,0.009560229445506692,115.49498748779297,0.10029296576976776,-2.2503442764282227,0
20,20,0.010516252390057362,50.04292297363281,0.16700206696987152,-0.4083445072174072,0
21,21,0.006692160611854685,73.06643676757812,0.16319121420383453,-1.0562889575958252,0
22,22,0.0038240917782026767,114.46086883544922,0.09162092208862305,-2.2212414741516113,0
23,23,0.004780114722753346,55.3535270690918,0.16991876065731049,-0.5577994585037231,0
24,24,0.0038240917782026767,60.27582931518555,0.1995764672756195,-0.696326494216919,0
25,25,0.0019120458891013384,45.66714096069336,0.21155233681201935,-0.2851980924606323,0
26,26,0.004780114722753346,103.1295394897461,0.08315738290548325,-1.9023468494415283,0
27,27,0.0028680688336520078,45.17470169067383,0.22016753256320953,-0.27133941650390625,0
28,28,0.0076481835564053535,75.0989761352539,0.09623094648122787,-1.113490343093872,0
29,29,0.0057361376673040155,70.18855285644531,0.17635557055473328,-0.9752975702285767,0
30,30,0.010516252390057362,41.87794876098633,0.2282482236623764,-0.1785597801208496,0
31,31,0.004780114722753346,48.22760009765625,0.18768994510173798,-0.35725629329681396,0
32,32,0.020076481835564052,46.14902114868164,0.1970040202140808,-0.29875946044921875,0
33,33,0.010516252390057362,43.474769592285156,0.21775569021701813,-0.22349882125854492,0
34,34,0.008604206500956023,48.18885040283203,0.20146742463111877,-0.35616588592529297,0
35,35,0.0076481835564053535,64.28714752197266,0.1449262946844101,-0.809215784072876,0
36,36,0.0076481835564053535,39.25885009765625,0.25104254484176636,-0.10485124588012695,0
37,37,0.010516252390057362,50.55649948120117,0.20918509364128113,-0.42279791831970215,0
38,38,0.004780114722753346,40.32004928588867,0.25210806727409363,-0.13471627235412598,0
39,39,0.0028680688336520078,70.24748229980469,0.15842275321483612,-0.9769558906555176,0
40,40,0.0009560229445506692,41.061256408691406,0.2471984624862671,-0.15557587146759033,0
41,41,0.0076481835564053535,82.26700592041016,0.16268552839756012,-1.315218210220337,0
42,42,0.0057361376673040155,36.273807525634766,0.3154565095901489,-0.020843982696533203,0
43,43,0.01338432122370937,38.87134552001953,0.27105623483657837,-0.09394586086273193,0
44,44,0.011472275334608031,37.86028289794922,0.27273228764533997,-0.06549179553985596,0
45,45,0.006692160611854685,44.66015625,0.22241614758968353,-0.25685882568359375,0
46,46,0.008604206500956023,284480.6875,-0.007317730691283941,-8005.06298828125,0
47,47,0.0124282982791587,49.05328369140625,0.20486405491828918,-0.3804934024810791,0
48,48,0.004780114722753346,43.600128173828125,0.24123744666576385,-0.22702670097351074,0
49,49,0.0009560229445506692,47.53627014160156,0.24506907165050507,-0.33780038356781006,0
50,50,0.0076481835564053535,169458.046875,0.01672598533332348,-4768.01220703125,0
51,51,0.0038240917782026767,59.827266693115234,0.1191711276769638,-0.6837027072906494,0
52,52,0.0124282982791587,37.0515251159668,0.28490447998046875,-0.04273104667663574,0
53,53,0.010516252390057362,71.53640747070312,0.1368759423494339,-1.0132298469543457,0
54,54,0.0038240917782026767,48.18746566772461,0.21861694753170013,-0.3561267852783203,0
55,55,0.0057361376673040155,61.946510314941406,0.17015020549297333,-0.7433439493179321,0
56,56,0.008604206500956023,38.261287689208984,0.2777182459831238,-0.07677710056304932,0
57,57,0.004780114722753346,77.23233795166016,0.1402168869972229,-1.1735289096832275,0
58,58,0.006692160611854685,42.15823745727539,0.24367138743400574,-0.1864478588104248,0
59,59,0.0076481835564053535,60.0069465637207,0.19409489631652832,-0.6887593269348145,0
60,60,0.0038240917782026767,69.10460662841797,0.14055904746055603,-0.9447922706604004,0
61,61,0.014340344168260038,39.256431579589844,0.2871169149875641,-0.10478317737579346,0
62,62,0.008604206500956023,34.915794372558594,0.3385869264602661,0.017374157905578613,0
63,63,0.0057361376673040155,47.995582580566406,0.22633150219917297,-0.3507267236709595,0
64,64,0.0057361376673040155,66.26707458496094,0.1904318928718567,-0.8649364709854126,0
