,Iteration,hit_ratio,mse,pearson,r2,repetition
0,0,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
1,1,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
2,2,0.0076481835564053535,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
3,3,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
4,4,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
5,5,0.0057361376673040155,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
6,6,0.009560229445506692,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
7,7,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
8,8,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
9,9,0.0057361376673040155,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
10,10,0.0038240917782026767,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
11,11,0.0076481835564053535,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
12,12,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
13,13,0.0028680688336520078,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
14,14,0.009560229445506692,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
15,15,0.011472275334608031,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
16,16,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
17,17,0.0076481835564053535,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
18,18,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
19,19,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
20,20,0.0038240917782026767,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
21,21,0.0076481835564053535,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
22,22,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
23,23,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
24,24,0.010516252390057362,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
25,25,0.009560229445506692,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
26,26,0.0028680688336520078,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
27,27,0.0028680688336520078,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
28,28,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
29,29,0.0057361376673040155,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
30,30,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
31,31,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
32,32,0.0057361376673040155,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
33,33,0.0038240917782026767,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
34,34,0.0028680688336520078,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
35,35,0.010516252390057362,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
36,36,0.010516252390057362,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
37,37,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
38,38,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
39,39,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
40,40,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
41,41,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
42,42,0.0076481835564053535,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
43,43,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
44,44,0.0057361376673040155,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
45,45,0.009560229445506692,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
46,46,0.0076481835564053535,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
47,47,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
48,48,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
49,49,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
50,50,0.0019120458891013384,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
51,51,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
52,52,0.0057361376673040155,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
53,53,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
54,54,0.0057361376673040155,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
55,55,0.0038240917782026767,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
56,56,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
57,57,0.0124282982791587,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
58,58,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
59,59,0.004780114722753346,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
60,60,0.0057361376673040155,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
61,61,0.006692160611854685,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
62,62,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
63,63,0.0076481835564053535,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
64,64,0.008604206500956023,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
