,Iteration,hit_ratio,mse,pearson,r2,repetition
0,0,0.02676864244741874,57.95526123046875,0.15527105331420898,-0.6310192346572876,0
1,1,0.006692160611854685,61.85561752319336,0.13737769424915314,-0.7407859563827515,0
2,2,0.008604206500956023,94.66094207763672,0.11680540442466736,-1.6640174388885498,0
3,3,0.02676864244741874,96.35199737548828,0.08404966443777084,-1.7116084098815918,0
4,4,0.006692160611854685,42.782196044921875,0.17980705201625824,-0.20400774478912354,0
5,5,0.014340344168260038,52.18404006958008,0.14561913907527924,-0.4686013460159302,0
6,6,0.0009560229445506692,61.4251708984375,0.1242506355047226,-0.7286720275878906,0
7,7,0.0076481835564053535,53.71257781982422,0.14955845475196838,-0.5116186141967773,0
8,8,0.0057361376673040155,57.640357971191406,0.16973990201950073,-0.622157096862793,0
9,9,0.0124282982791587,71.71214294433594,0.1292652189731598,-1.0181756019592285,0
10,10,0.0028680688336520078,50.64958572387695,0.18226897716522217,-0.4254176616668701,0
11,11,0.0038240917782026767,44.80811309814453,0.21091271936893463,-0.26102256774902344,0
12,12,0.0057361376673040155,43.153465270996094,0.19499430060386658,-0.21445631980895996,0
13,13,0.006692160611854685,95.74590301513672,0.08631499111652374,-1.6945509910583496,0
14,14,0.0019120458891013384,58.21704864501953,0.17608396708965302,-0.6383867263793945,0
15,15,0.006692160611854685,47.4368896484375,0.19671505689620972,-0.3350036144256592,0
16,16,0.011472275334608031,45.181034088134766,0.18458078801631927,-0.2715177536010742,0
17,17,0.011472275334608031,49.81517791748047,0.1768258661031723,-0.4019351005554199,0
18,18,0.0,55.52725601196289,0.17785857617855072,-0.5626885890960693,0
19,19,0.011472275334608031,62.16670227050781,0.18706583976745605,-0.7495406866073608,0
20,20,0.006692160611854685,45.94058609008789,0.18179616332054138,-0.29289352893829346,0
21,21,0.006692160611854685,126.94297790527344,0.07953757047653198,-2.572521924972534,0
22,22,0.008604206500956023,45.49455642700195,0.2246336042881012,-0.2803410291671753,0
23,23,0.019120458891013385,63.490787506103516,0.13998229801654816,-0.7868040800094604,0
24,24,0.004780114722753346,47.610137939453125,0.22528165578842163,-0.33987927436828613,0
25,25,0.004780114722753346,53.27785110473633,0.18236780166625977,-0.49938416481018066,0
26,26,0.006692160611854685,54.074310302734375,0.1506112515926361,-0.5217987298965454,0
27,27,0.0009560229445506692,41.82746124267578,0.22542357444763184,-0.17713892459869385,0
28,28,0.0038240917782026767,38.1649284362793,0.28479525446891785,-0.07406532764434814,0
29,29,0.0028680688336520078,52.59188461303711,0.20574313402175903,-0.48007917404174805,0
30,30,0.006692160611854685,90.29937744140625,0.0706176683306694,-1.5412709712982178,0
31,31,0.020076481835564052,84.08848571777344,0.09102974832057953,-1.3664796352386475,0
32,32,0.004780114722753346,44.742958068847656,0.20845358073711395,-0.25918900966644287,0
33,33,0.004780114722753346,310.4949645996094,0.04888428747653961,-7.738176345825195,0
34,34,0.0124282982791587,42.113468170166016,0.2319474220275879,-0.18518805503845215,0
35,35,0.0038240917782026767,48.338287353515625,0.18718288838863373,-0.36037135124206543,0
36,36,0.0057361376673040155,36.199195861816406,0.32810354232788086,-0.018744230270385742,0
